,State,Year,Quarter,District,RegisteredUser
208,assam,2019,2,marigaon district,31422
209,assam,2019,2,chirang district,14323
210,assam,2019,2,cachar district,76533
211,assam,2019,2,nalbari district,30036
212,assam,2019,2,west karbi anglong district,4626
213,assam,2019,2,dhemaji district,29292
214,assam,2019,2,karimganj district,35478
215,assam,2019,2,bongaigaon district,35569
216,assam,2019,2,dima hasao district,9658
217,assam,2019,2,baksa district,30435
218,assam,2019,2,charaideo district,18223
219,assam,2019,2,darrang district,32039
220,assam,2019,2,kamrup metropolitan district,299219
221,assam,2019,2,hailakandi district,24737
222,assam,2019,2,barpeta district,80544
223,assam,2019,2,goalpara district,38784
224,assam,2019,2,biswanath district,23128
225,assam,2019,2,jorhat district,56713
226,assam,2019,1,tinsukia district,51108
227,assam,2019,1,lakhimpur district,31154
228,assam,2019,1,kamrup district,54910
229,assam,2019,1,kokrajhar district,21029
230,assam,2019,1,karbi anglong district,20131
231,assam,2019,1,sivasagar district,28059
232,assam,2019,1,dibrugarh district,62656
233,assam,2019,1,south salmara mancachar district,8674
234,assam,2019,1,nagaon district,66306
235,assam,2019,1,dhubri district,36652
236,assam,2019,1,golaghat district,34918
237,assam,2019,1,udalguri district,19336
238,assam,2019,1,majuli district,4861
239,assam,2019,1,sonitpur district,62218
240,assam,2019,1,hojai district,23708
241,assam,2019,1,marigaon district,26319
242,assam,2019,1,chirang district,11867
243,assam,2019,1,cachar district,64241
244,assam,2019,1,nalbari district,24925
245,assam,2019,1,west karbi anglong district,3720
246,assam,2019,1,dhemaji district,24052
247,assam,2019,1,karimganj district,29208
248,assam,2019,1,bongaigaon district,29773
249,assam,2019,1,dima hasao district,7915
250,assam,2019,1,baksa district,24926
251,assam,2019,1,charaideo district,15161
252,assam,2019,1,darrang district,27070
253,assam,2019,1,kamrup metropolitan district,255112
254,assam,2019,1,hailakandi district,20697
255,assam,2019,1,barpeta district,67729
256,assam,2019,1,goalpara district,33006
257,assam,2019,1,biswanath district,19050
258,assam,2019,1,jorhat district,48594
259,assam,2019,4,tinsukia district,76944
260,assam,2019,4,lakhimpur district,49491
261,assam,2019,4,kamrup district,84609
262,assam,2019,4,kokrajhar district,32148
263,assam,2019,4,karbi anglong district,31228
264,assam,2019,4,sivasagar district,43561
265,assam,2019,4,dibrugarh district,93614
266,assam,2019,4,south salmara mancachar district,14211
267,assam,2019,4,nagaon district,114296
268,assam,2019,4,dhubri district,54923
269,assam,2019,4,golaghat district,54950
270,assam,2019,4,udalguri district,31160
271,assam,2019,4,majuli district,7711
272,assam,2019,4,sonitpur district,93662
273,assam,2019,4,hojai district,36550
274,assam,2019,4,marigaon district,51825
275,assam,2019,4,chirang district,18613
276,assam,2019,4,cachar district,98890
277,assam,2019,4,nalbari district,38957
278,assam,2019,4,west karbi anglong district,6422
279,assam,2019,4,dhemaji district,38177
280,assam,2019,4,karimganj district,47162
281,assam,2019,4,bongaigaon district,45540
282,assam,2019,4,dima hasao district,12935
283,assam,2019,4,baksa district,40329
284,assam,2019,4,charaideo district,23256
285,assam,2019,4,darrang district,40457
286,assam,2019,4,kamrup metropolitan district,373761
287,assam,2019,4,hailakandi district,32200
288,assam,2019,4,barpeta district,103248
289,assam,2019,4,goalpara district,49622
290,assam,2019,4,biswanath district,29959
291,assam,2019,4,jorhat district,70809
292,assam,2020,3,tinsukia district,113239
293,assam,2020,3,lakhimpur district,74990
294,assam,2020,3,kamrup district,124944
295,assam,2020,3,kokrajhar district,50223
296,assam,2020,3,karbi anglong district,48331
297,assam,2020,3,sivasagar district,64581
298,assam,2020,3,dibrugarh district,134339
299,assam,2020,3,south salmara mancachar district,23212
300,assam,2020,3,nagaon district,168903
301,assam,2020,3,dhubri district,84816
302,assam,2020,3,golaghat district,83572
303,assam,2020,3,udalguri district,48006
304,assam,2020,3,majuli district,11422
305,assam,2020,3,sonitpur district,134006
306,assam,2020,3,hojai district,54315
307,assam,2020,3,marigaon district,74680
308,assam,2020,3,chirang district,29963
309,assam,2020,3,cachar district,143851
310,assam,2020,3,nalbari district,57691
311,assam,2020,3,west karbi anglong district,10573
312,assam,2020,3,dhemaji district,57998
313,assam,2020,3,karimganj district,73939
314,assam,2020,3,bongaigaon district,67790
315,assam,2020,3,dima hasao district,20222
316,assam,2020,3,baksa district,62833
317,assam,2020,3,charaideo district,34348
318,assam,2020,3,darrang district,59770
319,assam,2020,3,kamrup metropolitan district,499403
320,assam,2020,3,hailakandi district,47910
321,assam,2020,3,barpeta district,150166
322,assam,2020,3,goalpara district,75578
323,assam,2020,3,biswanath district,44880
324,assam,2020,3,jorhat district,99517
325,assam,2020,2,tinsukia district,101864
326,assam,2020,2,lakhimpur district,67007
327,assam,2020,2,kamrup district,112992
328,assam,2020,2,kokrajhar district,44618
329,assam,2020,2,karbi anglong district,42365
330,assam,2020,2,sivasagar district,57871
331,assam,2020,2,dibrugarh district,121028
332,assam,2020,2,south salmara mancachar district,20692
333,assam,2020,2,nagaon district,151932
334,assam,2020,2,dhubri district,76285
335,assam,2020,2,golaghat district,74590
336,assam,2020,2,udalguri district,43018
337,assam,2020,2,majuli district,10284
338,assam,2020,2,sonitpur district,121435
339,assam,2020,2,hojai district,48810
340,assam,2020,2,marigaon district,68225
341,assam,2020,2,chirang district,26719
342,assam,2020,2,cachar district,129067
343,assam,2020,2,nalbari district,52390
344,assam,2020,2,west karbi anglong district,9203
345,assam,2020,2,dhemaji district,51815
346,assam,2020,2,karimganj district,65059
347,assam,2020,2,bongaigaon district,60981
348,assam,2020,2,dima hasao district,17777
349,assam,2020,2,baksa district,56270
350,assam,2020,2,charaideo district,31083
351,assam,2020,2,darrang district,54024
352,assam,2020,2,kamrup metropolitan district,457023
353,assam,2020,2,hailakandi district,42932
354,assam,2020,2,barpeta district,135525
355,assam,2020,2,goalpara district,67465
356,assam,2020,2,biswanath district,39933
357,assam,2020,2,jorhat district,90601
358,assam,2020,1,tinsukia district,86763
359,assam,2020,1,lakhimpur district,56008
360,assam,2020,1,kamrup district,95973
361,assam,2020,1,kokrajhar district,36818
362,assam,2020,1,karbi anglong district,35507
363,assam,2020,1,sivasagar district,49024
364,assam,2020,1,dibrugarh district,104663
365,assam,2020,1,south salmara mancachar district,16486
366,assam,2020,1,nagaon district,129371
367,assam,2020,1,dhubri district,62477
368,assam,2020,1,golaghat district,62401
369,assam,2020,1,udalguri district,35735
370,assam,2020,1,majuli district,8656
371,assam,2020,1,sonitpur district,105050
372,assam,2020,1,hojai district,41444
373,assam,2020,1,marigaon district,59197
374,assam,2020,1,chirang district,21489
