,State,Year,Quarter,District,count,amount
258,assam,2019,1,jorhat district,125165,215041144.37958878
259,assam,2019,4,tinsukia district,224113,423685126.94560075
260,assam,2019,4,lakhimpur district,129734,211979144.7023744
261,assam,2019,4,kamrup district,249708,461559258.766533
262,assam,2019,4,kokrajhar district,90371,198548447.25328588
263,assam,2019,4,karbi anglong district,95122,214907046.11081886
264,assam,2019,4,sivasagar district,112099,192010348.16393307
265,assam,2019,4,dibrugarh district,255885,470389915.7975105
266,assam,2019,4,south salmara mancachar district,39935,91996007.23237559
267,assam,2019,4,nagaon district,287586,546184547.4478517
268,assam,2019,4,dhubri district,134357,284612415.48264515
269,assam,2019,4,golaghat district,138710,238009780.18189836
270,assam,2019,4,udalguri district,77332,154704605.56495023
271,assam,2019,4,majuli district,20488,26928995.953304544
272,assam,2019,4,sonitpur district,298139,613461613.2726698
273,assam,2019,4,hojai district,95246,175607661.95152915
274,assam,2019,4,marigaon district,132919,263927905.91411433
275,assam,2019,4,chirang district,51791,101022374.81498426
276,assam,2019,4,cachar district,273506,482197783.1553297
277,assam,2019,4,nalbari district,95723,156653435.63897616
278,assam,2019,4,west karbi anglong district,17914,25460539.282486644
279,assam,2019,4,dhemaji district,103033,197496702.44348955
280,assam,2019,4,karimganj district,108697,194919405.22699457
281,assam,2019,4,bongaigaon district,119397,235963764.71799022
282,assam,2019,4,dima hasao district,45414,93463244.8365884
283,assam,2019,4,baksa district,106632,221221950.65788725
284,assam,2019,4,charaideo district,70323,125582119.32897243
285,assam,2019,4,darrang district,98623,201143725.75237712
286,assam,2019,4,kamrup metropolitan district,2510384,7206165641.817837
287,assam,2019,4,hailakandi district,67877,117286060.91560167
288,assam,2019,4,barpeta district,295624,613479659.5323288
289,assam,2019,4,goalpara district,139662,282003507.8056698
290,assam,2019,4,biswanath district,88764,151710760.8210323
291,assam,2019,4,jorhat district,185402,307700398.0221567
292,assam,2020,3,tinsukia district,442335,839411510.8503457
293,assam,2020,3,lakhimpur district,258450,431917438.40076566
294,assam,2020,3,kamrup district,445726,878646586.9277797
295,assam,2020,3,kokrajhar district,169456,354873433.7407801
296,assam,2020,3,karbi anglong district,186352,377558923.84267277
297,assam,2020,3,sivasagar district,213330,375381648.79175025
298,assam,2020,3,dibrugarh district,526945,1106487215.771987
299,assam,2020,3,south salmara mancachar district,76074,203318061.94884482
300,assam,2020,3,nagaon district,535675,1153926434.0592713
301,assam,2020,3,dhubri district,265528,574593610.2092601
302,assam,2020,3,golaghat district,278714,484885427.85811895
303,assam,2020,3,udalguri district,154549,312073789.4753115
304,assam,2020,3,majuli district,39125,56123804.82257187
305,assam,2020,3,sonitpur district,540972,1164586118.8388221
306,assam,2020,3,hojai district,175557,355628836.03412914
307,assam,2020,3,marigaon district,230540,512119251.2560668
308,assam,2020,3,chirang district,102868,192241344.00140762
309,assam,2020,3,cachar district,487493,920279966.2377985
310,assam,2020,3,nalbari district,175078,305820367.27784514
311,assam,2020,3,west karbi anglong district,40408,63195580.4849911
312,assam,2020,3,dhemaji district,206214,411442432.54643184
313,assam,2020,3,karimganj district,249302,504923538.1515511
314,assam,2020,3,bongaigaon district,227984,476147034.02800435
315,assam,2020,3,dima hasao district,93676,180472116.28952006
316,assam,2020,3,baksa district,208297,442621506.6427143
317,assam,2020,3,charaideo district,130863,244390041.98398152
318,assam,2020,3,darrang district,188334,455692195.8874371
319,assam,2020,3,kamrup metropolitan district,4268591,13346088870.114107
320,assam,2020,3,hailakandi district,161126,294342674.92533815
321,assam,2020,3,barpeta district,553783,1306355860.1566281
322,assam,2020,3,goalpara district,277508,630486618.2775412
323,assam,2020,3,biswanath district,171570,332570734.95310086
324,assam,2020,3,jorhat district,315288,542788284.757088
325,assam,2020,2,tinsukia district,420620,618021383.1902584
326,assam,2020,2,lakhimpur district,272571,350989858.66494405
327,assam,2020,2,kamrup district,461735,696378364.1282135
328,assam,2020,2,kokrajhar district,172597,308298837.3237574
329,assam,2020,2,karbi anglong district,183647,292585692.4231733
330,assam,2020,2,sivasagar district,220014,286719380.2356086
331,assam,2020,2,dibrugarh district,447580,678491572.8304845
332,assam,2020,2,south salmara mancachar district,83003,196672059.63422558
333,assam,2020,2,nagaon district,521404,889592664.4056509
334,assam,2020,2,dhubri district,279128,458359612.4548876
335,assam,2020,2,golaghat district,290221,381486790.01234204
336,assam,2020,2,udalguri district,166432,268857082.80588436
337,assam,2020,2,majuli district,40396,51674787.72689781
338,assam,2020,2,sonitpur district,510820,899403354.2732959
339,assam,2020,2,hojai district,172987,285298432.07494795
340,assam,2020,2,marigaon district,240281,429689787.586447
341,assam,2020,2,chirang district,112936,166769974.12251493
342,assam,2020,2,cachar district,448258,671325302.7518412
343,assam,2020,2,nalbari district,198498,254116361.12580383
344,assam,2020,2,west karbi anglong district,42806,49256668.874245055
345,assam,2020,2,dhemaji district,205941,328331122.2696053
346,assam,2020,2,karimganj district,219675,348307355.5519594
347,assam,2020,2,bongaigaon district,215359,339332330.9810649
348,assam,2020,2,dima hasao district,90255,143371839.6172748
349,assam,2020,2,baksa district,220877,363494158.45049345
350,assam,2020,2,charaideo district,132136,187405994.2347428
351,assam,2020,2,darrang district,191116,334935860.5953754
352,assam,2020,2,kamrup metropolitan district,2543890,7190215278.036328
353,assam,2020,2,hailakandi district,145539,214091717.66001353
354,assam,2020,2,barpeta district,519590,967512954.9444927
355,assam,2020,2,goalpara district,261762,485118707.4615322
356,assam,2020,2,biswanath district,166278,223505041.45463598
357,assam,2020,2,jorhat district,306847,406689798.01641923
358,assam,2020,1,tinsukia district,286640,541758826.9845176
359,assam,2020,1,lakhimpur district,170709,275431087.19729304
360,assam,2020,1,kamrup district,322830,605538834.8588183
361,assam,2020,1,kokrajhar district,114668,248408355.21989542
362,assam,2020,1,karbi anglong district,113535,217131796.10672602
363,assam,2020,1,sivasagar district,145386,255427708.50909787
364,assam,2020,1,dibrugarh district,317878,585327059.678019
365,assam,2020,1,south salmara mancachar district,53050,131605619.18781178
366,assam,2020,1,nagaon district,360749,736229612.8989756
367,assam,2020,1,dhubri district,171651,396380458.8856824
368,assam,2020,1,golaghat district,179380,301335497.7930421
369,assam,2020,1,udalguri district,102667,191387716.4480479
370,assam,2020,1,majuli district,25164,35131725.05132236
371,assam,2020,1,sonitpur district,383179,755509094.6113625
372,assam,2020,1,hojai district,116561,234366183.7308593
373,assam,2020,1,marigaon district,178906,365789442.36522716
374,assam,2020,1,chirang district,69572,129457976.34682235
375,assam,2020,1,cachar district,375774,659702346.1886156
376,assam,2020,1,nalbari district,123597,204236898.97519046
377,assam,2020,1,west karbi anglong district,24370,34424503.58908371
378,assam,2020,1,dhemaji district,132751,261048437.21831787
379,assam,2020,1,karimganj district,149784,300337283.14218104
380,assam,2020,1,bongaigaon district,154338,308181647.0424576
381,assam,2020,1,dima hasao district,57312,113253608.62830341
382,assam,2020,1,baksa district,139164,286488075.0946201
383,assam,2020,1,charaideo district,88911,166505285.42115477
384,assam,2020,1,darrang district,130156,282448987.90926135
385,assam,2020,1,kamrup metropolitan district,3338601,10080547554.265474
386,assam,2020,1,hailakandi district,94255,178759552.2400369
387,assam,2020,1,barpeta district,367963,833078665.8149495
388,assam,2020,1,goalpara district,178776,399940069.48684144
389,assam,2020,1,biswanath district,108475,182185726.09962332
390,assam,2020,1,jorhat district,232108,371072710.73973197
391,assam,2020,4,tinsukia district,543941,1209737013.9697673
392,assam,2020,4,lakhimpur district,304251,620709324.0849249
393,assam,2020,4,kamrup district,557203,1271039293.2521
394,assam,2020,4,kokrajhar district,209653,522575460.2813618
395,assam,2020,4,karbi anglong district,229991,548523247.5679932
396,assam,2020,4,sivasagar district,259736,561002521.458745
397,assam,2020,4,dibrugarh district,631601,1479167066.8054302
398,assam,2020,4,south salmara mancachar district,111015,338306352.61497504
399,assam,2020,4,nagaon district,667880,1665021995.8192074
400,assam,2020,4,dhubri district,337623,874322425.3902972
401,assam,2020,4,golaghat district,337771,687756877.7912595
402,assam,2020,4,udalguri district,181878,415302655.27819014
403,assam,2020,4,majuli district,43480,69435583.78914571
404,assam,2020,4,sonitpur district,676306,1560923095.7659307
405,assam,2020,4,hojai district,224628,528926408.78015757
406,assam,2020,4,marigaon district,277304,736327079.8480828
407,assam,2020,4,chirang district,121011,281687589.58493227
408,assam,2020,4,cachar district,623731,1434767202.3488228
409,assam,2020,4,nalbari district,210966,464782209.23467815
410,assam,2020,4,west karbi anglong district,44259,80617646.24078932
411,assam,2020,4,dhemaji district,250452,567469583.0598263
412,assam,2020,4,karimganj district,309172,754661918.8881419
413,assam,2020,4,bongaigaon district,301859,724047412.765212
414,assam,2020,4,dima hasao district,110429,262165738.17960855
415,assam,2020,4,baksa district,253333,644108232.3336508
416,assam,2020,4,charaideo district,152117,356182476.76104593
417,assam,2020,4,darrang district,239602,682167456.1529416
418,assam,2020,4,kamrup metropolitan district,5300547,16105922899.456022
419,assam,2020,4,hailakandi district,189140,419018012.3664531
420,assam,2020,4,barpeta district,724763,2053361856.4779525
421,assam,2020,4,goalpara district,381733,1018165139.8396726
422,assam,2020,4,biswanath district,215627,472733035.60243803
