,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
166,assam,2021,2,Recharge & bill payments,9058005,2657676415.2458973
167,assam,2021,2,Merchant payments,4562669,4914753140.040101
168,assam,2021,2,Financial Services,49671,46106001.498141706
169,assam,2021,2,Others,94161,52549929.267157935
170,assam,2021,1,Peer-to-peer payments,9449096,45476079487.10464
171,assam,2021,1,Recharge & bill payments,6494111,2103017761.546533
172,assam,2021,1,Merchant payments,3459132,3657261586.2001615
173,assam,2021,1,Financial Services,34049,41291047.3832124
174,assam,2021,1,Others,75672,48814663.88782827
175,assam,2021,4,Peer-to-peer payments,21393962,86801625126.53499
176,assam,2021,4,Merchant payments,12895755,13378765005.905182
177,assam,2021,4,Recharge & bill payments,11484376,3842004488.3733196
178,assam,2021,4,Financial Services,60724,65456475.826191336
179,assam,2021,4,Others,185544,97116796.57575196
180,assam,2022,3,Peer-to-peer payments,37000266,127264703851.96637
181,assam,2022,3,Merchant payments,34935460,28789992307.161205
182,assam,2022,3,Recharge & bill payments,13974568,5295136932.037907
183,assam,2022,3,Financial Services,65066,62882386.459812224
184,assam,2022,3,Others,138451,76363577.27323309
185,assam,2022,2,Peer-to-peer payments,33879530,123829913105.31845
186,assam,2022,2,Merchant payments,28377534,24333260089.826862
187,assam,2022,2,Recharge & bill payments,13858113,4814695679.877083
188,assam,2022,2,Financial Services,50785,55549153.74320389
189,assam,2022,2,Others,168763,77624058.0178437
190,assam,2022,1,Peer-to-peer payments,27156085,108855352347.44865
191,assam,2022,1,Merchant payments,19011883,18833132506.022354
192,assam,2022,1,Recharge & bill payments,12474674,4424035840.366192
193,assam,2022,1,Financial Services,68432,73257991.39188361
194,assam,2022,1,Others,178812,94659207.47378007
195,assam,2022,4,Peer-to-peer payments,44828832,150693397669.18314
196,assam,2022,4,Merchant payments,43605784,36033810141.574844
197,assam,2022,4,Recharge & bill payments,15344794,5773980885.270762
198,assam,2022,4,Financial Services,74414,75960367.91633397
199,assam,2022,4,Others,127443,76370123.60102956
200,andhra-pradesh,2019,3,Peer-to-peer payments,39023491,124338645329.51532
201,andhra-pradesh,2019,3,Recharge & bill payments,20147629,6893984676.598906
